주먹밥	6192
동료	8151
쿠폰	877
조명	2282
처리	500
보자마자	5910
쳐다	5954
막상	2358
tea	4759
장판	7931
로고	3235
닦았는지	7812
녹아내림	38
포인트	2193
되네	6297
왈부	6348
분들껜	6414
빠는	6001
깔끔해져서	7813
적어요	864
트렌드	3588
푸어	5915
먹던	1478
오랜만	7433
않지만	623
그런게	4836
괜찮다	4380
즐겼다	6841
각각	6140
아니다라는	8233
버블티	287
하겠는데	4654
없다고	1274
표준	4244
되어있던데	6500
재밌네	1970
2시간	1570
100%	1876
느끼한	1718
느끼함	1630
싸가지	365
빌딩	6630
됐습니다	7213
보너스	6790
화차	3616
깨끗하고	581
기대도	6776
프리미엄	2992
pies	4769
차이	1777
형편	3350
들어옴	5962
조용조	4392
배불러서	3768
들어올	2933
구경해	7423
좁습니다	6837
들어온	5312
쨍그랑	7487
힘들어요	3311
예약	1253
트렌디	1031
종로	3730
젊은	1394
번가	1812
the	4444
맹물	573
졸맛	2684
버거	3884
사평대로	1049
편하게있을수있는	6854
다녀갑니다	6952
왠만해	7432
반겨주는	936
라이트	5553
생각남	2152
good	3799
없을듯	166
맛없어요	1363
나눠져서	2993
했었는데	1882
겠습니다	4074
스트레스	4520
시원하다	6369
에그타르트	56
가게	237
챙겨서	7638
마셔	289
깨끗하게	2439
10시	3047
더워서	4158
나쁘지는	2428
경험	1159
타르	7990
반말	1881
아무튼	2354
생긴거	7622
아인슈페너	1716
제아	6750
내리는	2260
멀다	4245
생각날	4591
눅눅	6110
열정	6102
컸나	6425
들어가려하니	8064
가격	157
11시	711
됐다	1407
해야하는	3519
만석	1691
그러고	6475
사각	6410
한가해서	2002
써있어서	3627
점원	1430
12시	353
물품	7409
그런거	3543
어디가	3991
잘한	7239
좋았지만	611
딸케	7718
찾아	5280
가공	4704
그리울줄이야	6569
꾸리	6439
말안하면	6902
드릴게요	957
알리고자	6043
괜찮던데	3178
불가능	4242
래야	4972
가고	1929
ㅁㅏㅅㅇㅣㅆㅇㅓㅇㅛ	4454
만세	5050
전문성	5548
종료	1997
그렇습니다	3041
절제	5428
리아	3263
파는	679
타마	7771
씹는줄	6903
쓰시는게	7436
오스	1117
14시	7761
굴다리	6557
동그라미	6040
기대했는데	2263
오시	4457
흘러나오고	7540
레시피	2550
구석	2643
오신	6620
넣어주시던데	6943
납니다	2061
굉장히	1085
간격	381
휴게실	5618
메리트	5288
하고싶지는	8183
쾌적해요	1714
아쉬웠고	2511
시켰습니다	7286
싶어지네요	7922
문하	5779
15시	5232
않나요	7253
덩이	2665
정원	319
같네용	5616
구역질	7903
대표	1676
반면	6008
둘러앉아있어서	6385
구성	2027
오심	4149
기다려	498
였음	2007
top	4913
같네요	2746
too	5766
알갱이	6260
have	5160
2-3	7248
지르면서	6909
봐야겠다	1643
가보세요	3283
팔아서	3692
필요하지만	8056
지극히	6386
싶었다	6594
종류	122
되는	1524
아름다운	4387
스티커	4177
갈것	2008
불만족	6862
되고요	2812
2.5	3736
가구	5333
갈거	1348
않아야	8061
파우더	1628
리얼	3413
네트웍	6505
푸석푸석	4859
빨대	2928
cpa	7705
2/3	3637
